Column,Type
AGE_LISTING,FLOAT
AGE_TXPL,FLOAT
STATLIST,ENUM-STR
SLVAD,BOOL
SLECMO,BOOL
SLVENT,BOOL
HXARRYTH,BOOL
HXCPR,BOOL
HXDIAB,BOOL
HXGI,BOOL
HXISO,BOOL
HXMALIG,BOOL
HXMET,BOOL
HXMIT,BOOL
HXNEURO,BOOL
PACEMAKE,BOOL
HXPERMYO,BOOL
HXPRENAT,BOOL
HXTRANS,BOOL
HXRENINS,BOOL
HXRESP,BOOL
HXSHOCK,BOOL
HXSYN,BOOL
HXOTHER,BOOL
SPECOTH,STR
SLINODS,ENUM-STR
SLICU,BOOL
LSAST,FLOAT
LSALT,FLOAT
LBNP,FLOAT
HXMED,BOOL
LSCSTAT,FLOAT
SLHOSP,BOOL
LSDCD,ENUM-INT
SEX,ENUM-STR
CHD_OTHSP,STR
RRACE_W,BOOL
RRACE_B,BOOL
RRACE_AI,BOOL
RRACE_A,BOOL
RRACE_PI,BOOL
RRACE_O,BOOL
RRACE_UN,BOOL
CHD_AHIH,BOOL
CHD_VSD,BOOL
CHD_AVD,BOOL
CHD_BIVC,BOOL
CHD_AVSEP,BOOL
CHD_CTGA,BOOL
CHD_ANOM,BOOL
CHD_DEX,BOOL
CHD_DILV,BOOL
CHD_EBST,BOOL
CHD_HETER,BOOL
CHD_HLH,BOOL
CHD_HRH,BOOL
CHD_IIVC,BOOL
CHD_LSVC,BOOL
CHD_LVOTOAS,BOOL
CHD_MSTN,BOOL
CHD_RAA,BOOL
CHD_PDA,BOOL
CHD_PA,BOOL
CHD_PATR,BOOL
CHD_SI,BOOL
CHD_TAPVR,BOOL
CHD_PAPVR,BOOL
CHD_TOF,BOOL
CHD_TGA,BOOL
CHD_TRIAT,BOOL
CHD_TART,BOOL
CHD_UNK,BOOL
CHD_OTH,BOOL
CHD_ASPL,BOOL
CHD_PSPL,BOOL
CHD_USPL,BOOL
CHD_SV,BOOL
CHD_PATRD,BOOL
TXO2,BOOL
TXDOPA,BOOL
TXDOBUT,BOOL
TXISUPRO,BOOL
TXNITRO,BOOL
TXNPRUSS,BOOL
TXOHEMRX,BOOL
TXPGE,BOOL
TXIVINO,BOOL
TXVENT,BOOL
TXSTAT,ENUM-STR
TXNOREPI,BOOL
TXPHNEO,BOOL
TXSILDEN,BOOL
TXBRAM,INT
TXBPAM,FLOAT
TXBPCW,FLOAT
TXBCO,FLOAT
TXBCI,FLOAT
TXBRP,FLOAT
TXBRS,FLOAT
TXICU,ENUM-INT
TXPGI,BOOL
TXNO2,BOOL
TXMILRIN,BOOL
KIDNEY,BOOL
TXHNES,BOOL
TXBAOSAT,FLOAT
TXAST,FLOAT
TXALT,FLOAT
CPBYPASS,FLOAT
